product_slug,product_name,product_id,sku,reference_sku_private,mpn,mpn_status,brand,category,gtin,gtin_status,gtin_checksum_status,reference_price_private,currency,reference_availability_private,selling_price,availability,product_url,image_url,description,seller_brand,seller_legal_name,merchant_approved
microsoft-office-2019-professional-plus,MICROSOFT OFFICE 2019 PROFESSIONAL PLUS (WINDOWS),LP-56F50FD2CB,LP-56F50FD2CB,O2K19W,O2K19W,assignment_unverified,Microsoft,Home,760947047697,assignment_unverified,valid,19.9,EUR,InStock,,PendingReview,https://licenzpol.it/it/product/microsoft-office-2019-professional-plus/,,,Licenzpol,DIGITALSOFT DI MUNSHI SHIHAB,False
microsoft-office-2019-home-business-mac,MICROSOFT OFFICE 2019 HOME &amp; BUSINESS (MAC),LP-B9D5FAE5EA,LP-B9D5FAE5EA,M9SJ34,M9SJ34,assignment_unverified,Microsoft,Home,0760947037735,assignment_unverified,valid,24.9,EUR,InStock,,PendingReview,https://licenzpol.it/it/product/microsoft-office-2019-home-business-mac/,,,Licenzpol,DIGITALSOFT DI MUNSHI SHIHAB,False
microsoft-office-2019-home-and-student-windows,MICROSOFT OFFICE 2019 HOME AND STUDENT (WINDOWS),LP-9AB80BACD1,LP-9AB80BACD1,DD9F82,DD9F82,assignment_unverified,Microsoft,Home,0799366901372,assignment_unverified,valid,29,EUR,InStock,,PendingReview,https://licenzpol.it/it/product/microsoft-office-2019-home-and-student-windows/,,,Licenzpol,DIGITALSOFT DI MUNSHI SHIHAB,False
microsoft-office-2019-home-and-business-windows,MICROSOFT OFFICE 2019 HOME AND BUSINESS (WINDOWS),LP-601992328C,LP-601992328C,69DVM7,69DVM7,assignment_unverified,Microsoft,Home,0765756124898,assignment_unverified,valid,29,EUR,InStock,,PendingReview,https://licenzpol.it/it/product/microsoft-office-2019-home-and-business-windows/,,,Licenzpol,DIGITALSOFT DI MUNSHI SHIHAB,False
microsoft-office-2019-home-and-student-mac,MICROSOFT OFFICE 2019 HOME AND STUDENT (MAC),LP-D160AE11A7,LP-D160AE11A7,VMD453,VMD453,assignment_unverified,Microsoft,Microsoft Office 2019,4251604174512,assignment_unverified,valid,29,EUR,InStock,,PendingReview,https://licenzpol.it/it/product/microsoft-office-2019-home-and-student-mac/,,,Licenzpol,DIGITALSOFT DI MUNSHI SHIHAB,False
microsoft-office-2019-standard-windows,MICROSOFT OFFICE 2019 STANDARD (WINDOWS),LP-2524163B1C,LP-2524163B1C,V29XW6,V29XW6,assignment_unverified,Microsoft,Home,4260518146034,assignment_unverified,valid,14.9,EUR,InStock,,PendingReview,https://licenzpol.it/it/product/microsoft-office-2019-standard-windows/,,,Licenzpol,DIGITALSOFT DI MUNSHI SHIHAB,False
microsoft-office-2016-professional-windows,MICROSOFT OFFICE 2016 PROFESSIONAL PLUS (WINDOWS),LP-AC2F21507A,LP-AC2F21507A,CS942S,CS942S,assignment_unverified,Microsoft,Microsoft Office 2016,0760947046607,assignment_unverified,valid,9.9,EUR,InStock,,PendingReview,https://licenzpol.it/it/product/microsoft-office-2016-professional-windows/,,,Licenzpol,DIGITALSOFT DI MUNSHI SHIHAB,False
microsoft-office-2016-home-student-windows,MICROSOFT OFFICE 2016 HOME &amp; STUDENT (WINDOWS),LP-8B5CB8D12B,LP-8B5CB8D12B,2DFE88,2DFE88,assignment_unverified,Microsoft,Microsoft Office 2016,0760947046591,assignment_unverified,valid,9.9,EUR,InStock,,PendingReview,https://licenzpol.it/it/product/microsoft-office-2016-home-student-windows/,,,Licenzpol,DIGITALSOFT DI MUNSHI SHIHAB,False
microsoft-office-2016-home-business-mac,MICROSOFT OFFICE 2016 HOME &amp; BUSINESS (MAC),LP-97997ACF9C,LP-97997ACF9C,9SDV12,9SDV12,assignment_unverified,Microsoft,Home,0889842094589,assignment_unverified,valid,14.9,EUR,InStock,,PendingReview,https://licenzpol.it/it/product/microsoft-office-2016-home-business-mac/,,,Licenzpol,DIGITALSOFT DI MUNSHI SHIHAB,False
microsoft-office-2016-home-business-windows,MICROSOFT OFFICE 2016 HOME &amp; BUSINESS (WINDOWS),LP-59106BC299,LP-59106BC299,2M5A8W,2M5A8W,assignment_unverified,Microsoft,Home,0884095173586,assignment_unverified,valid,16.9,EUR,InStock,,PendingReview,https://licenzpol.it/it/product/microsoft-office-2016-home-business-windows/,,,Licenzpol,DIGITALSOFT DI MUNSHI SHIHAB,False
microsoft-office-2013-home-and-business-windows,MICROSOFT OFFICE 2013 HOME AND BUSINESS (WINDOWS),LP-E9F0FA94F3,LP-E9F0FA94F3,VD394Q,VD394Q,assignment_unverified,Microsoft,Home,0885370486322,assignment_unverified,valid,14,EUR,InStock,,PendingReview,https://licenzpol.it/it/product/microsoft-office-2013-home-and-business-windows/,,,Licenzpol,DIGITALSOFT DI MUNSHI SHIHAB,False
microsoft-office-2013-home-and-student-windows,MICROSOFT OFFICE 2013 HOME AND STUDENT (WINDOWS),LP-8ABDCFD506,LP-8ABDCFD506,CV0E74,CV0E74,assignment_unverified,Microsoft,Home,0885370455854,assignment_unverified,valid,11.99,EUR,InStock,,PendingReview,https://licenzpol.it/it/product/microsoft-office-2013-home-and-student-windows/,,,Licenzpol,DIGITALSOFT DI MUNSHI SHIHAB,False
microsoft-office-2013-professional-plus,MICROSOFT OFFICE 2013 PROFESSIONAL PLUS,LP-CC0A1EC3F3,LP-CC0A1EC3F3,HW944Z,HW944Z,assignment_unverified,Microsoft,Home,0760947037988,assignment_unverified,valid,7.9,EUR,InStock,,PendingReview,https://licenzpol.it/it/product/microsoft-office-2013-professional-plus/,,,Licenzpol,DIGITALSOFT DI MUNSHI SHIHAB,False
microsoft-office-2013-professional,MICROSOFT OFFICE 2013 PROFESSIONAL,LP-3C960A71C1,LP-3C960A71C1,D4S0Q2,D4S0Q2,assignment_unverified,Microsoft,Home,0885370457346,assignment_unverified,valid,11.99,EUR,InStock,,PendingReview,https://licenzpol.it/it/product/microsoft-office-2013-professional/,,,Licenzpol,DIGITALSOFT DI MUNSHI SHIHAB,False
microsoft-office-2013-standard-windows,MICROSOFT OFFICE 2013 STANDARD (WINDOWS),LP-20C80A9A28,LP-20C80A9A28,VD30R2,VD30R2,assignment_unverified,Microsoft,Home,0885370507423,assignment_unverified,valid,13.5,EUR,InStock,,PendingReview,https://licenzpol.it/it/product/microsoft-office-2013-standard-windows/,,,Licenzpol,DIGITALSOFT DI MUNSHI SHIHAB,False
